Dataset,Model,Acc,Precision,Recall,F1,ConfusionMatrix
FixLBasewithMoreS,RF,0.9669,0.9688,0.9669,0.9677,[[3862, 4, 8, 9, 32, 6, 47, 9, 14, 3, 17, 0, 6, 59, 26, 2, 47, 7, 6, 2], [6, 4213, 2, 4, 10, 6, 6, 2, 2, 2, 4, 0, 3, 5, 4, 1, 2, 6, 1, 0], [26, 1, 4940, 4, 8, 9, 17, 13, 6, 2, 4, 1, 5, 15, 8, 1, 5, 1, 4, 1], [14, 1, 1, 5128, 32, 8, 28, 1, 13, 18, 11, 1, 2, 29, 6, 1, 18, 10, 1, 1], [28, 1, 2, 21, 5768, 11, 57, 22, 18, 74, 12, 7, 2, 35, 22, 5, 33, 62, 3, 4], [30, 3, 4, 7, 38, 2781, 31, 22, 14, 4, 5, 0, 5, 2, 29, 4, 4, 9, 2, 2], [27, 5, 1, 4, 17, 4, 8344, 16, 26, 0, 9, 1, 3, 7, 24, 0, 18, 5, 1, 3], [7, 0, 0, 1, 8, 3, 14, 6906, 2, 0, 4, 0, 0, 6, 46, 0, 9, 0, 0, 0], [13, 0, 0, 2, 3, 7, 51, 3, 3679, 3, 4, 0, 4, 3, 11, 1, 1, 0, 1, 1], [12, 2, 0, 13, 34, 6, 18, 2, 14, 4272, 7, 1, 0, 12, 6, 1, 10, 3, 3, 2], [10, 2, 4, 1, 4, 1, 16, 5, 1, 1, 5169, 0, 2, 3, 43, 2, 9, 1, 2, 1], [1, 0, 3, 0, 2, 1, 1, 4, 0, 4, 0, 2973, 1, 0, 3, 1, 1, 0, 0, 0], [2, 0, 0, 0, 1, 0, 1, 3, 1, 0, 0, 0, 3230, 0, 3, 0, 0, 1, 0, 0], [35, 2, 14, 4, 14, 0, 18, 6, 5, 2, 5, 4, 2, 5692, 15, 1, 28, 13, 0, 2], [18, 1, 4, 1, 6, 12, 37, 77, 6, 7, 32, 1, 5, 32, 3955, 0, 37, 5, 4, 9], [2, 1, 0, 1, 5, 1, 1, 2, 0, 1, 16, 1, 0, 1, 1, 4559, 0, 0, 1, 1], [64, 3, 8, 15, 14, 11, 55, 50, 8, 8, 15, 2, 4, 60, 73, 1, 4183, 7, 3, 2], [3, 3, 2, 8, 67, 2, 6, 4, 7, 11, 5, 2, 1, 10, 7, 0, 13, 4738, 3, 1], [2, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3357, 0], [20, 0, 3, 1, 4, 3, 8, 1, 2, 0, 3, 3, 0, 4, 7, 2, 3, 1, 2, 3734]]
FixLBasewithMoreSBase,RF,0.9688,0.9707,0.9685,0.9696,[[3871, 6, 4, 6, 32, 11, 42, 7, 18, 4, 13, 1, 0, 58, 21, 2, 56, 9, 1, 4], [5, 4214, 3, 3, 8, 3, 10, 3, 2, 2, 5, 0, 1, 5, 6, 0, 2, 7, 0, 0], [15, 0, 4957, 1, 13, 6, 26, 13, 6, 1, 4, 1, 0, 12, 8, 1, 5, 1, 0, 1], [20, 1, 5, 5132, 29, 5, 33, 2, 8, 13, 14, 3, 0, 25, 2, 0, 20, 8, 0, 4], [19, 2, 4, 22, 5784, 9, 55, 19, 11, 82, 12, 5, 0, 30, 27, 4, 38, 62, 0, 2], [29, 4, 6, 7, 31, 2791, 23, 22, 16, 3, 3, 1, 0, 5, 33, 2, 8, 9, 0, 3], [22, 2, 2, 8, 14, 4, 8356, 17, 26, 0, 9, 1, 2, 6, 21, 0, 17, 5, 0, 3], [8, 0, 0, 0, 6, 2, 12, 6905, 2, 0, 5, 0, 0, 7, 47, 0, 11, 1, 0, 0], [10, 1, 0, 1, 6, 7, 56, 3, 3677, 3, 4, 1, 0, 2, 11, 1, 1, 1, 0, 2], [5, 3, 2, 13, 30, 2, 20, 4, 12, 4280, 10, 1, 0, 10, 4, 0, 13, 7, 0, 2], [12, 2, 2, 1, 7, 4, 17, 8, 3, 2, 5164, 0, 0, 8, 33, 1, 12, 0, 0, 1], [1, 0, 2, 0, 1, 0, 1, 4, 0, 4, 0, 2973, 1, 0, 3, 1, 2, 1, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4052, 0, 0, 0, 0, 0, 0, 0], [30, 0, 9, 5, 17, 3, 18, 9, 7, 2, 8, 1, 0, 5691, 14, 0, 30, 16, 0, 2], [7, 3, 2, 3, 7, 9, 30, 62, 4, 3, 37, 0, 0, 19, 4001, 2, 45, 5, 2, 8], [2, 0, 2, 1, 4, 1, 2, 9, 1, 1, 10, 0, 0, 3, 4, 4551, 3, 0, 0, 0], [43, 3, 9, 14, 26, 8, 38, 53, 13, 4, 19, 1, 4, 46, 83, 2, 4209, 6, 2, 3], [12, 1, 7, 5, 65, 4, 8, 5, 10, 5, 11, 1, 0, 17, 2, 0, 7, 4734, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3587, 0], [7, 0, 4, 1, 7, 8, 10, 2, 3, 4, 7, 0, 0, 3, 6, 2, 2, 1, 0, 3734]]
FixLwithMoreS,RF,0.9292,0.9332,0.9284,0.9305,[[3546, 6, 30, 21, 53, 24, 98, 12, 25, 12, 27, 4, 7, 87, 33, 6, 114, 21, 15, 25], [11, 4095, 7, 9, 33, 6, 26, 4, 4, 3, 14, 1, 9, 11, 15, 0, 4, 19, 5, 3], [40, 1, 4785, 13, 35, 17, 48, 20, 9, 2, 8, 0, 7, 35, 8, 1, 14, 11, 2, 15], [16, 3, 12, 4815, 99, 13, 95, 2, 13, 35, 29, 2, 3, 80, 7, 12, 38, 41, 2, 7], [38, 9, 21, 54, 5267, 37, 109, 42, 23, 169, 36, 10, 5, 78, 33, 24, 81, 132, 14, 5], [45, 11, 13, 29, 79, 2534, 72, 32, 32, 9, 13, 2, 10, 13, 46, 8, 16, 18, 2, 12], [52, 12, 14, 19, 30, 7, 8198, 24, 52, 6, 26, 1, 6, 8, 16, 1, 29, 4, 2, 8], [11, 0, 1, 5, 3, 1, 29, 6837, 1, 1, 10, 1, 3, 10, 73, 1, 16, 1, 2, 0], [18, 2, 5, 9, 7, 13, 111, 9, 3562, 10, 8, 0, 8, 7, 8, 0, 8, 1, 0, 1], [18, 2, 12, 53, 89, 10, 37, 6, 14, 4031, 35, 5, 5, 46, 13, 7, 20, 6, 5, 4], [9, 3, 4, 3, 28, 3, 19, 13, 2, 3, 5065, 1, 3, 17, 63, 13, 16, 2, 5, 5], [1, 1, 3, 1, 7, 3, 4, 4, 1, 3, 0, 2957, 4, 0, 0, 0, 2, 3, 1, 0], [2, 3, 9, 1, 12, 1, 2, 3, 3, 3, 2, 0, 3187, 1, 4, 0, 4, 1, 4, 0], [29, 6, 28, 12, 53, 2, 30, 6, 6, 6, 17, 9, 3, 5555, 21, 3, 35, 29, 4, 8], [13, 5, 8, 7, 21, 16, 74, 152, 18, 18, 63, 5, 9, 45, 3661, 5, 62, 10, 21, 36], [1, 2, 4, 6, 13, 5, 5, 5, 0, 2, 25, 1, 2, 4, 3, 4506, 1, 2, 2, 5], [62, 6, 22, 40, 40, 13, 84, 100, 35, 14, 36, 8, 9, 92, 107, 2, 3857, 27, 14, 18], [28, 4, 15, 16, 154, 12, 23, 5, 10, 22, 20, 7, 4, 33, 8, 4, 34, 4484, 5, 5], [3, 1, 0, 1, 10, 1, 5, 6, 2, 2, 5, 0, 4, 4, 7, 0, 4, 2, 3305, 1], [10, 1, 9, 4, 14, 7, 26, 5, 13, 4, 10, 6, 2, 4, 10, 3, 8, 1, 2, 3662]]
FixLwithMoreSBase,RF,0.9304,0.9342,0.9294,0.9314,[[3537, 5, 25, 25, 65, 25, 85, 10, 27, 10, 33, 2, 5, 101, 31, 7, 109, 20, 16, 28], [13, 4095, 16, 7, 33, 6, 23, 6, 4, 2, 10, 1, 2, 12, 10, 2, 4, 24, 4, 5], [52, 4, 4770, 10, 36, 17, 48, 15, 9, 4, 10, 1, 4, 40, 10, 2, 17, 10, 2, 10], [28, 6, 13, 4811, 94, 12, 90, 6, 10, 37, 28, 5, 2, 74, 11, 5, 36, 43, 0, 13], [35, 5, 26, 46, 5294, 38, 113, 38, 24, 164, 36, 7, 3, 89, 34, 15, 60, 148, 6, 6], [50, 3, 19, 23, 73, 2570, 65, 25, 31, 11, 18, 0, 4, 10, 42, 8, 16, 20, 0, 8], [35, 7, 9, 8, 28, 5, 8237, 25, 48, 3, 16, 1, 8, 7, 17, 1, 40, 9, 0, 11], [9, 1, 0, 3, 12, 5, 39, 6829, 1, 1, 10, 0, 1, 9, 68, 1, 14, 0, 2, 1], [19, 1, 7, 6, 13, 17, 117, 8, 3556, 7, 6, 0, 2, 8, 8, 1, 4, 5, 0, 2], [16, 5, 8, 30, 86, 13, 35, 5, 14, 4065, 27, 9, 1, 52, 14, 7, 18, 9, 1, 3], [8, 1, 4, 3, 34, 5, 30, 9, 0, 2, 5048, 1, 0, 21, 62, 14, 18, 3, 5, 9], [1, 0, 6, 1, 6, 2, 4, 4, 0, 5, 1, 2955, 1, 0, 1, 1, 1, 6, 0, 0], [1, 1, 5, 0, 0, 0, 1, 0, 3, 0, 0, 0, 4040, 0, 0, 0, 1, 0, 0, 0], [37, 4, 24, 6, 50, 6, 30, 12, 16, 11, 13, 7, 1, 5527, 29, 1, 41, 38, 1, 8], [11, 5, 8, 5, 10, 15, 57, 138, 15, 12, 59, 5, 4, 44, 3707, 8, 69, 12, 21, 44], [6, 1, 8, 4, 10, 1, 3, 8, 0, 1, 44, 0, 4, 1, 4, 4486, 4, 2, 1, 6], [62, 4, 21, 38, 73, 13, 96, 107, 40, 12, 44, 10, 16, 79, 136, 3, 3756, 44, 11, 21], [18, 4, 19, 23, 167, 12, 20, 11, 14, 21, 20, 7, 0, 37, 4, 1, 28, 4478, 5, 5], [0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 1, 7, 0, 0, 2, 3573, 0], [14, 2, 6, 5, 21, 11, 26, 7, 7, 7, 11, 4, 2, 5, 8, 3, 9, 2, 0, 3651]]
FixLBasewithMoreS,XGB,0.9613,0.9630,0.9614,0.9622,[[3769, 3, 8, 18, 40, 14, 57, 4, 17, 13, 19, 1, 2, 54, 29, 2, 92, 11, 5, 8], [11, 4214, 2, 0, 10, 3, 11, 4, 0, 2, 1, 0, 1, 5, 4, 0, 6, 5, 0, 0], [21, 0, 4938, 4, 15, 10, 15, 10, 5, 3, 6, 1, 1, 13, 12, 2, 10, 2, 0, 3], [14, 2, 5, 5124, 38, 5, 20, 1, 10, 14, 11, 0, 0, 30, 9, 1, 27, 11, 0, 2], [28, 3, 13, 37, 5653, 28, 54, 17, 9, 120, 17, 3, 0, 25, 29, 6, 63, 77, 3, 2], [29, 3, 9, 13, 34, 2754, 27, 10, 19, 1, 8, 1, 1, 12, 37, 2, 13, 19, 1, 3], [35, 4, 6, 8, 11, 9, 8288, 25, 31, 2, 11, 0, 2, 8, 19, 0, 44, 5, 0, 7], [8, 1, 3, 0, 5, 0, 12, 6900, 0, 1, 4, 0, 0, 6, 57, 0, 8, 0, 0, 1], [4, 0, 1, 5, 9, 8, 65, 2, 3666, 4, 3, 0, 1, 3, 6, 0, 8, 2, 0, 0], [11, 7, 1, 13, 40, 3, 10, 1, 6, 4285, 5, 0, 2, 15, 3, 1, 13, 2, 0, 0], [6, 1, 1, 2, 16, 5, 18, 5, 1, 3, 5139, 0, 2, 7, 48, 5, 13, 2, 2, 1], [0, 0, 1, 0, 3, 2, 1, 3, 0, 1, 1, 2977, 1, 0, 2, 1, 1, 1, 0, 0], [1, 1, 1, 0, 1, 0, 2, 0, 1, 0, 1, 0, 3230, 0, 0, 0, 1, 2, 1, 0], [27, 3, 13, 6, 21, 5, 9, 5, 6, 2, 5, 5, 2, 5686, 16, 1, 35, 14, 0, 1], [23, 5, 3, 4, 15, 18, 56, 104, 7, 4, 35, 1, 2, 29, 3848, 1, 70, 13, 3, 8], [5, 2, 4, 0, 6, 3, 1, 2, 0, 1, 7, 0, 0, 1, 0, 4559, 0, 1, 0, 2], [53, 3, 16, 13, 34, 24, 52, 37, 13, 12, 18, 2, 4, 76, 82, 0, 4133, 9, 2, 3], [21, 1, 6, 13, 84, 8, 6, 2, 7, 12, 3, 1, 2, 14, 3, 1, 25, 4680, 2, 2], [1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 4, 0, 3353, 0], [6, 0, 2, 0, 4, 8, 8, 0, 1, 0, 3, 5, 0, 0, 7, 0, 4, 1, 0, 3752]]
FixLBasewithMoreSBase,XGB,0.9609,0.9627,0.9608,0.9617,[[3767, 5, 13, 22, 43, 14, 42, 7, 5, 8, 14, 2, 1, 77, 32, 2, 92, 10, 1, 9], [8, 4221, 2, 0, 8, 5, 9, 2, 0, 2, 4, 0, 1, 4, 3, 0, 5, 4, 0, 1], [19, 1, 4931, 1, 20, 9, 21, 11, 5, 3, 4, 1, 0, 15, 14, 1, 7, 4, 0, 4], [18, 0, 9, 5135, 36, 11, 17, 4, 4, 16, 3, 0, 0, 29, 8, 0, 25, 9, 0, 0], [35, 0, 12, 36, 5614, 32, 62, 19, 9, 116, 22, 2, 0, 48, 27, 7, 64, 81, 0, 1], [41, 3, 15, 13, 44, 2729, 24, 12, 23, 3, 7, 0, 0, 10, 37, 3, 16, 12, 0, 4], [47, 1, 6, 9, 23, 8, 8276, 17, 28, 3, 11, 0, 1, 6, 19, 0, 47, 8, 0, 5], [10, 0, 1, 1, 3, 1, 7, 6891, 0, 1, 5, 0, 0, 4, 67, 0, 14, 0, 0, 1], [6, 1, 4, 0, 10, 7, 57, 5, 3671, 2, 4, 1, 0, 3, 8, 0, 5, 1, 0, 2], [7, 9, 2, 11, 46, 3, 11, 3, 7, 4274, 3, 1, 0, 14, 4, 0, 13, 9, 0, 1], [16, 1, 2, 2, 14, 7, 21, 1, 1, 1, 5155, 0, 0, 8, 31, 3, 11, 1, 0, 2], [2, 0, 2, 0, 1, 1, 1, 1, 1, 3, 1, 2976, 1, 1, 2, 1, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4052, 0, 0, 0, 0, 0, 0, 0], [34, 1, 13, 7, 35, 5, 8, 5, 2, 6, 9, 0, 0, 5665, 16, 0, 39, 15, 0, 2], [18, 2, 1, 3, 17, 16, 58, 98, 4, 1, 37, 1, 0, 17, 3897, 3, 54, 6, 4, 12], [3, 0, 2, 2, 5, 3, 1, 5, 1, 1, 2, 1, 0, 1, 3, 4561, 2, 1, 0, 0], [59, 2, 21, 23, 43, 19, 53, 46, 12, 10, 13, 2, 3, 90, 94, 0, 4077, 11, 2, 6], [10, 3, 5, 13, 101, 3, 11, 1, 8, 12, 4, 1, 0, 22, 2, 0, 23, 4672, 1, 2], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3587, 0], [6, 2, 0, 3, 5, 8, 6, 1, 0, 1, 2, 0, 0, 1, 4, 1, 4, 1, 0, 3756]]
FixLwithMoreS,XGB,0.9273,0.9309,0.9277,0.9291,[[3516, 8, 25, 37, 62, 20, 94, 5, 17, 27, 33, 3, 7, 108, 27, 5, 121, 23, 9, 19], [22, 4090, 8, 11, 29, 12, 22, 8, 2, 5, 12, 1, 2, 5, 12, 0, 7, 28, 1, 2], [40, 3, 4784, 8, 29, 19, 49, 14, 9, 9, 4, 1, 4, 31, 15, 4, 21, 17, 1, 9], [21, 6, 18, 4821, 103, 24, 59, 6, 6, 35, 20, 1, 2, 71, 11, 6, 56, 48, 4, 6], [42, 17, 32, 56, 5190, 51, 111, 29, 13, 182, 50, 3, 4, 70, 34, 27, 99, 160, 9, 8], [42, 8, 28, 39, 79, 2527, 67, 20, 33, 9, 15, 0, 1, 17, 40, 9, 26, 25, 2, 9], [59, 11, 22, 12, 27, 10, 8132, 28, 50, 8, 22, 4, 5, 13, 25, 1, 63, 10, 0, 13], [22, 2, 3, 2, 15, 1, 24, 6797, 1, 0, 8, 2, 0, 10, 97, 0, 19, 0, 1, 2], [11, 1, 5, 9, 13, 12, 89, 3, 3611, 6, 5, 0, 3, 8, 3, 0, 4, 3, 1, 0], [13, 10, 12, 26, 79, 9, 25, 3, 12, 4116, 17, 5, 0, 50, 6, 8, 18, 9, 0, 0], [18, 1, 4, 5, 32, 5, 38, 9, 0, 3, 5039, 0, 2, 13, 58, 8, 27, 2, 5, 8], [0, 1, 2, 0, 5, 3, 3, 2, 0, 3, 1, 2960, 1, 2, 2, 1, 3, 6, 0, 0], [2, 0, 12, 2, 2, 0, 1, 0, 0, 0, 1, 0, 3207, 1, 5, 0, 5, 3, 1, 0], [35, 4, 37, 24, 56, 7, 19, 15, 9, 7, 21, 11, 4, 5493, 18, 1, 59, 32, 2, 8], [29, 5, 9, 6, 30, 24, 83, 148, 20, 12, 58, 3, 3, 40, 3647, 6, 65, 9, 19, 33], [4, 4, 7, 0, 11, 6, 6, 4, 0, 2, 14, 1, 1, 6, 4, 4517, 2, 1, 1, 3], [60, 6, 34, 37, 62, 33, 78, 59, 17, 12, 45, 2, 6, 113, 124, 5, 3827, 37, 13, 16], [27, 7, 10, 32, 184, 11, 13, 2, 9, 20, 12, 5, 1, 49, 7, 5, 46, 4445, 2, 6], [5, 0, 1, 0, 6, 1, 2, 4, 0, 2, 2, 0, 3, 4, 4, 0, 4, 2, 3323, 0], [16, 2, 3, 3, 13, 21, 19, 3, 1, 3, 7, 4, 1, 1, 4, 5, 4, 1, 0, 3690]]
FixLwithMoreSBase,XGB,0.9278,0.9310,0.9279,0.9293,[[3505, 8, 28, 37, 72, 29, 89, 10, 9, 12, 34, 6, 3, 124, 26, 7, 100, 31, 14, 22], [18, 4104, 11, 7, 27, 10, 27, 8, 1, 5, 7, 0, 3, 9, 12, 1, 6, 19, 0, 4], [34, 4, 4773, 14, 38, 23, 57, 8, 5, 6, 7, 5, 4, 35, 16, 7, 17, 9, 0, 9], [22, 7, 17, 4868, 88, 15, 54, 8, 8, 34, 22, 1, 2, 56, 13, 5, 56, 38, 1, 9], [43, 13, 36, 64, 5180, 40, 98, 29, 11, 181, 51, 7, 0, 105, 40, 30, 71, 177, 3, 8], [48, 6, 27, 36, 68, 2556, 60, 19, 27, 13, 13, 2, 1, 13, 44, 9, 22, 22, 1, 9], [60, 8, 16, 14, 39, 15, 8131, 31, 48, 6, 22, 4, 2, 9, 38, 1, 47, 14, 0, 10], [18, 2, 6, 2, 9, 4, 22, 6811, 0, 0, 9, 1, 0, 10, 94, 0, 16, 0, 1, 1], [12, 1, 4, 4, 8, 7, 92, 5, 3614, 5, 4, 0, 0, 12, 6, 0, 6, 6, 0, 1], [17, 6, 11, 18, 72, 10, 28, 4, 8, 4115, 23, 5, 0, 43, 11, 2, 27, 15, 1, 2], [13, 1, 4, 7, 28, 7, 41, 12, 1, 3, 5045, 0, 0, 9, 69, 9, 17, 2, 2, 7], [2, 0, 5, 2, 6, 2, 4, 0, 0, 5, 1, 2962, 1, 1, 1, 0, 1, 2, 0, 0], [0, 0, 4, 0, 2, 1, 2, 0, 1, 0, 0, 0, 4042, 0, 0, 0, 0, 0, 0, 0], [46, 6, 34, 21, 49, 8, 24, 8, 8, 11, 22, 6, 1, 5458, 34, 0, 83, 36, 0, 7], [25, 3, 11, 12, 16, 29, 75, 161, 15, 11, 53, 4, 2, 30, 3644, 8, 82, 12, 20, 36], [3, 1, 11, 7, 9, 3, 6, 7, 2, 1, 17, 0, 0, 3, 3, 4511, 7, 0, 0, 3], [74, 8, 40, 60, 68, 34, 101, 63, 22, 15, 36, 5, 9, 139, 138, 5, 3708, 35, 14, 12], [17, 4, 17, 27, 189, 12, 20, 3, 11, 29, 17, 7, 1, 47, 5, 3, 26, 4453, 2, 4], [3, 0, 0, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 3578, 0], [13, 2, 4, 5, 15, 15, 28, 1, 2, 2, 7, 1, 0, 1, 5, 10, 3, 0, 0, 3687]]
